"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"IC.CRED.ACC.LGL.RGHT.010.XD.DB0514.DFRN","Getting credit","Score-Strength of legal rights index (0-10) (DB05-14 methodology)","","The score for the strength of legal rights benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB05-14 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Movable assets, rather than land or buildings, often comprise most of the capital stock of private firms; this is especially true for SMEs. In economies with a modern secured transactions system, these assets can easily be used as collateral. However, in many developing economies lenders may consider movable property to be an unacceptable form of collateral—either because the law does not recognize nonpossessory interests in movable collateral or because it does not provide sufficient protection for those lenders accepting it. This constraint matters: research shows that in developed economies borrowers with collateral obtain nine times as much credit as those without it. These borrowers also benefit from repayment periods 11 times as long and up to 50% lower interest rates.","","","","",
"IC.CRED.ACC.LGL.RGHT.012.XD.DB1519.DFRN","Getting credit","Score-Strength of legal rights index (0-12) (DB15-20 methodology)","","The score for the strength of legal rights benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB15-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Movable assets, rather than land or buildings, often comprise most of the capital stock of private firms; this is especially true for SMEs. In economies with a modern secured transactions system, these assets can easily be used as collateral. However, in many developing economies lenders may consider movable property to be an unacceptable form of collateral—either because the law does not recognize nonpossessory interests in movable collateral or because it does not provide sufficient protection for those lenders accepting it. This constraint matters: research shows that in developed economies borrowers with collateral obtain nine times as much credit as those without it. These borrowers also benefit from repayment periods 11 times as long and up to 50% lower interest rates.","","","","",
"IC.CRED.ACC.LGL.RGHT.XD.010.DB0514","Getting credit","Strength of legal rights index (0-10) (DB05-14 methodology)","","The strength of legal rights index measures whether certain features that facilitate lending exist within the appli­cable collateral and bankruptcy laws. The index ranges from 0 to 10 based on the methodology in the DB05-14 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Movable assets, rather than land or buildings, often comprise most of the capital stock of private firms; this is especially true for SMEs. In economies with a modern secured transactions system, these assets can easily be used as collateral. However, in many developing economies lenders may consider movable property to be an unacceptable form of collateral—either because the law does not recognize nonpossessory interests in movable collateral or because it does not provide sufficient protection for those lenders accepting it. This constraint matters: research shows that in developed economies borrowers with collateral obtain nine times as much credit as those without it. These borrowers also benefit from repayment periods 11 times as long and up to 50% lower interest rates.","","","","",
"IC.CRED.ACC.LGL.RGHT.XD.012.DB1519","Getting credit","Strength of legal rights index (0-12) (DB15-20 methodology)","","The strength of legal rights index measures whether certain features that facilitate lending exist within the appli­cable collateral and bankruptcy laws. The index ranges from 0 to 12 based on the methodology in the DB15-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Movable assets, rather than land or buildings, often comprise most of the capital stock of private firms; this is especially true for SMEs. In economies with a modern secured transactions system, these assets can easily be used as collateral. However, in many developing economies lenders may consider movable property to be an unacceptable form of collateral—either because the law does not recognize nonpossessory interests in movable collateral or because it does not provide sufficient protection for those lenders accepting it. This constraint matters: research shows that in developed economies borrowers with collateral obtain nine times as much credit as those without it. These borrowers also benefit from repayment periods 11 times as long and up to 50% lower interest rates.","","","","",
"IC.CRED.ACC.PRVT.CRD.ZS","Getting credit","Credit bureau coverage (% of adults)","","The credit bureau coverage reports the number of individuals and firms listed in a credit bureau’s database as of January 1 with information on their borrowing history from the past five years, and the number of individuals and firms that have had no borrowing history in the past five years but for which a lender requested a credit report from the bureau in the previous calendar year. The number is expressed as a percentage of the adult population.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Globally, 27% of firms identify access to finance as a major constraint while around 70% of formal SMEs in developing economies are estimated to be either unserved or underserved by the formal financial sector. Credit bureaus and registries are essential elements of the financial infrastructure that helps to address the issue of access to financial services, including credit. By sharing credit information, they help to reduce information asymmetries, increase access to credit for small firms, lower interest rates, improve borrower discipline and support bank supervision and credit risk monitoring.","","","","",
"IC.CRED.ACC.PUBL.CRD.REG.COVR.ZS","Getting credit","Credit registry coverage (% of adults)","","The credit registry coverage reports the number of individuals and firms listed in a credit registry’s database as of January 1 with information on their borrowing history from the past five years, and the number of individuals and firms that have had no borrowing history in the past five years but for which a lender requested a credit report from the registry in the previous calendar year. The number is expressed as a percentage of the adult population.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Globally, 27% of firms identify access to finance as a major constraint while around 70% of formal SMEs in developing economies are estimated to be either unserved or underserved by the formal financial sector. Credit bureaus and registries are essential elements of the financial infrastructure that helps to address the issue of access to financial services, including credit. By sharing credit information, they help to reduce information asymmetries, increase access to credit for small firms, lower interest rates, improve borrower discipline and support bank supervision and credit risk monitoring.","","","","",
"IC.DCP.BQC.XD.015.DB1619","Dealing with construction permits","Building quality control index (0-15) (DB16-20 methodology)","","The building quality control index is the sum of the following six indices: quality of building regulations, quality control before construction, quality control during construction, quality control after construction, liability and insurance regimes and professional certifications. The component indicator is computed based on the methodology in the DB16-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Good construction regulation matters for public safety since sound regulation of construction helps protect the public from faulty building practices. Efficient construction permitting and inspection systems can indeed strengthen property rights and contribute to the process of capital formation. If procedures are too complicated or too costly, builders are more likely to proceed without a permit, especially in developing economies. And because the construction permitting process generally involves licensing requirements from several different agencies, those seeking permits are exposed to different bureaucracies, which creates opportunities for rent-seeking. Overly complicated or costly construction rules can also increase opportunities for corruption.","","","","",
"IC.ELC.ACES.DFRN.DB1015","Getting electricity","Score-Getting electricity (DB10-15 methodology)","","The score for getting electricity is the simple average of the scores for each of the component indicators: the procedures, time, cost for a business to obtain a permanent electricity connection and supply for a standardized warehouse, as well as the reliability of supply and transparency of tariffs index. The score is computed based on the methodology in the DB10-15 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Infrastructure services are a major concern for businesses around the world. Getting electricity services in particular is known to be a substantial obstacle to entrepreneurial activity. Power outages can  severely hamper business activity as well as the economy as a whole. For example, power outages can lead to sale losses and decreases in productivity. Research also shows that capital tends to go to economies that can offer a reliable and competitively priced supply of electricity. That is why, by providing insight into the complex regulatory environment concerning electricity connections and measuring how regulations and institutions affect a firm's ability to get a new connection, Doing Business can thus help identify bottlenecks and prompt policy makers to introduce more conducive regulations.","","","","",
"IC.ELC.ACES.DFRN.DB1619","Getting electricity","Score-Getting electricity (DB16-20 methodology)","","The score for getting electricity is the simple average of the scores for each of the component indicators: the procedures, time, cost for a business to obtain a permanent electricity connection and supply for a standardized warehouse, as well as the reliability of supply and transparency of tariffs index. The score is computed based on the methodology in the DB16-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Infrastructure services are a major concern for businesses around the world. Getting electricity services in particular is known to be a substantial obstacle to entrepreneurial activity. Power outages can  severely hamper business activity as well as the economy as a whole. For example, power outages can lead to sale losses and decreases in productivity. Research also shows that capital tends to go to economies that can offer a reliable and competitively priced supply of electricity. That is why, by providing insight into the complex regulatory environment concerning electricity connections and measuring how regulations and institutions affect a firm's ability to get a new connection, Doing Business can thus help identify bottlenecks and prompt policy makers to introduce more conducive regulations.","","","","",
"IC.ELC.ACS.COST","Getting electricity","Cost (% of income per capita)","","The cost is the total median cost associated with completing the procedures to connect a warehouse to electricity. It is calculated as a percentage of income per capita. All the fees and costs associated with completing the procedures to connect a warehouse to electricity are recorded, including those related to obtaining clearances from government agencies, applying for the connection, receiving inspections of both the site and the internal wiring, purchasing material, getting the actual connection works and paying a security deposit. Bribes are not included.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Infrastructure services are a major concern for businesses around the world. Getting electricity services in particular is known to be a substantial obstacle to entrepreneurial activity. Power outages can  severely hamper business activity as well as the economy as a whole. For example, power outages can lead to sale losses and decreases in productivity. Research also shows that capital tends to go to economies that can offer a reliable and competitively priced supply of electricity. That is why, by providing insight into the complex regulatory environment concerning electricity connections and measuring how regulations and institutions affect a firm's ability to get a new connection, Doing Business can thus help identify bottlenecks and prompt policy makers to introduce more conducive regulations.","","","","",
"IC.ELC.ACS.COST.DFRN","Getting electricity","Score-Cost (% of income per capita)","","The score for cost benchmarks economies with respect to the regulatory best practice on the indicator. The score ranges from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Infrastructure services are a major concern for businesses around the world. Getting electricity services in particular is known to be a substantial obstacle to entrepreneurial activity. Power outages can  severely hamper business activity as well as the economy as a whole. For example, power outages can lead to sale losses and decreases in productivity. Research also shows that capital tends to go to economies that can offer a reliable and competitively priced supply of electricity. That is why, by providing insight into the complex regulatory environment concerning electricity connections and measuring how regulations and institutions affect a firm's ability to get a new connection, Doing Business can thus help identify bottlenecks and prompt policy makers to introduce more conducive regulations.","","","","",
