,Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020
7089,Bangladesh,BGD,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,168.0
7093,Bangladesh,BGD,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,151.0
7252,Barbados,BRB,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,57.7,57.8,57.7,57.7,57.9
7255,Barbados,BRB,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,72.8,72.8,71.9,71.9,72.3
7260,Barbados,BRB,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,19.5,19.5,20.0,19.9,19.8
7294,Barbados,BRB,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,128.0
7298,Barbados,BRB,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,96.0
7457,Belarus,BLR,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,68.7,72.6,73.6,74.4,74.3
7460,Belarus,BLR,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,71.5,71.2,70.8,70.7,71.2
7465,Belarus,BLR,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,11.0,10.9,10.8,11.1,11.1
7499,Belarus,BLR,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,49.0
7503,Belarus,BLR,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,99.0
7662,Belgium,BEL,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,72.4,72.4,72.2,74.7,75.0
7665,Belgium,BEL,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,77.2,77.1,77.7,77.5,78.4
7670,Belgium,BEL,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,8.4,9.1,10.3,10.9,10.3
7704,Belgium,BEL,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,46.0
7708,Belgium,BEL,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,63.0
7867,Belize,BLZ,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,55.4,55.4,55.3,55.3,55.5
7870,Belize,BLZ,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,79.9,79.9,79.9,79.9,79.9
7875,Belize,BLZ,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,24.7,24.7,24.7,24.7,24.7
7909,Belize,BLZ,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,135.0
7913,Belize,BLZ,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,60.0
8072,Benin,BEN,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,48.7,49.7,51.6,51.7,52.4
8075,Benin,BEN,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,49.3,49.3,49.3,49.3,49.3
8080,Benin,BEN,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,11.9,11.9,11.9,11.9,11.9
8114,Benin,BEN,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,149.0
8118,Benin,BEN,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,171.0
8277,Bhutan,BTN,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,64.9,65.0,65.8,66.0,66.0
8280,Bhutan,BTN,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,87.6,87.6,87.6,89.3,89.2
8285,Bhutan,BTN,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,33.9,33.9,33.9,33.9,33.9
8319,Bhutan,BTN,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,89.0
8323,Bhutan,BTN,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,15.0
8482,Bolivia,BOL,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,49.8,50.2,51.0,51.6,51.7
8485,Bolivia,BOL,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,21.6,21.6,21.6,21.6,21.6
8490,Bolivia,BOL,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,0.0,0.0,0.0,0.0,0.0
8524,Bolivia,BOL,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,150.0
8528,Bolivia,BOL,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,186.0
8687,Bosnia and Herzegovina,BIH,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,64.1,64.8,65.2,65.4,65.4
8690,Bosnia and Herzegovina,BIH,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,55.1,60.0,60.4,60.4,60.4
8695,Bosnia and Herzegovina,BIH,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,7.2,7.2,8.4,8.4,8.4
8729,Bosnia and Herzegovina,BIH,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,90.0
8733,Bosnia and Herzegovina,BIH,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,141.0
8892,Botswana,BWA,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,65.5,65.6,65.7,66.2,66.2
8895,Botswana,BWA,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,78.8,78.8,80.0,80.0,80.0
8900,Botswana,BWA,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,21.5,21.5,21.5,21.5,21.5
8934,Botswana,BWA,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,87.0
8938,Botswana,BWA,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,59.0
9097,Brazil,BRA,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,55.6,55.2,55.6,58.6,59.1
9100,Brazil,BRA,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,34.2,34.3,34.4,34.4,34.4
9105,Brazil,BRA,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,22.5,22.3,22.4,22.4,22.4
9139,Brazil,BRA,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,124.0
9143,Brazil,BRA,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,184.0
9302,Brunei Darussalam,BRN,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,57.5,62.9,67.7,69.6,70.1
9305,Brunei Darussalam,BRN,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,66.8,68.9,69.4,74.0,74.0
9310,Brunei Darussalam,BRN,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,0.1,0.1,0.1,0.1,0.1
9344,Brunei Darussalam,BRN,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,66.0
9348,Brunei Darussalam,BRN,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,90.0
9507,Bulgaria,BGR,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,72.5,71.6,71.7,71.8,72.0
9510,Bulgaria,BGR,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,72.1,72.1,72.1,72.0,72.3
9515,Bulgaria,BGR,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,5.0,5.0,5.0,4.9,4.9
9549,Bulgaria,BGR,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,61.0
9553,Bulgaria,BGR,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,97.0
9712,Burkina Faso,BFA,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,50.7,50.9,51.2,51.3,51.4
9715,Burkina Faso,BFA,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,55.9,55.9,55.9,55.9,55.9
9720,Burkina Faso,BFA,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,16.2,16.2,16.2,16.2,16.2
9754,Burkina Faso,BFA,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,151.0
9758,Burkina Faso,BFA,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,154.0
9917,Burundi,BDI,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,45.6,45.7,45.9,46.5,46.8
9920,Burundi,BDI,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,59.1,60.9,60.3,60.9,60.9
9925,Burundi,BDI,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,28.9,28.9,28.4,28.5,28.5
9959,Burundi,BDI,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,166.0
9963,Burundi,BDI,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,140.0
10122,Cabo Verde,CPV,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,53.4,53.4,54.0,54.0,55.0
10125,Cabo Verde,CPV,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,75.2,75.1,75.1,75.0,74.8
10130,Cabo Verde,CPV,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,18.5,18.6,18.6,18.5,18.3
10164,Cabo Verde,CPV,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,137.0
10168,Cabo Verde,CPV,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,87.0
10327,Cambodia,KHM,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,52.9,53.2,53.4,53.8,53.8
10330,Cambodia,KHM,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,61.3,61.3,61.3,61.3,61.3
10335,Cambodia,KHM,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,19.5,19.5,19.4,19.4,19.0
10369,Cambodia,KHM,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,144.0
10373,Cambodia,KHM,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,138.0
10532,Cameroon,CMR,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,41.9,41.8,45.1,46.0,46.1
10535,Cameroon,CMR,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,38.9,35.4,36.3,36.3,36.3
10540,Cameroon,CMR,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,30.0,38.9,38.9,38.9,38.9
10574,Cameroon,CMR,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,167.0
10578,Cameroon,CMR,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,181.0
10737,Canada,CAN,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,79.8,79.5,79.3,79.7,79.6
10740,Canada,CAN,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,88.1,88.1,88.1,88.1,88.1
10745,Canada,CAN,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,3.9,3.9,3.8,3.9,8.0
10779,Canada,CAN,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,23.0
10783,Canada,CAN,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,19.0
10942,Central African Republic,CAF,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,32.0,32.0,32.4,34.8,35.6
10945,Central African Republic,CAF,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,18.9,18.9,18.9,18.9,18.9
10950,Central African Republic,CAF,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,0.0,0.0,0.0,0.0,0.0
10984,Central African Republic,CAF,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,184.0
10988,Central African Republic,CAF,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,187.0
11147,Chad,TCD,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,35.3,36.0,35.5,36.7,36.9
11150,Chad,TCD,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,17.9,17.9,17.9,17.9,17.9
11155,Chad,TCD,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,31.3,31.3,31.3,31.3,31.3
11189,Chad,TCD,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,182.0
11193,Chad,TCD,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,188.0
11352,Chile,CHL,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,71.2,71.6,72.0,72.3,72.6
11355,Chile,CHL,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,76.7,76.2,75.8,75.3,75.3
11360,Chile,CHL,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,22.0,23.6,25.2,26.2,26.2
11394,Chile,CHL,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,59.0
11398,Chile,CHL,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,86.0
11557,China,CHN,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,63.1,64.6,65.2,74.0,77.9
11560,China,CHN,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,60.5,60.5,63.3,67.9,70.1
11565,China,CHN,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,10.9,10.8,11.3,11.8,6.3
11599,China,CHN,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,31.0
11603,China,CHN,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,105.0
11762,Colombia,COL,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,68.9,69.2,69.0,69.2,70.1
11765,Colombia,COL,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,58.3,57.9,57.9,57.9,58.6
11770,Colombia,COL,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,22.1,21.7,21.8,21.7,21.1
11804,Colombia,COL,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,67.0
11808,Colombia,COL,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,148.0
11967,Comoros,COM,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,46.2,46.4,46.9,47.0,47.9
11970,Comoros,COM,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,49.9,49.9,49.9,49.9,49.9
11975,Comoros,COM,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,32.1,32.1,32.1,30.4,30.4
12009,Comoros,COM,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,160.0
12013,Comoros,COM,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,168.0
12172,"Congo, Dem. Rep.",COD,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,34.4,34.4,34.6,35.2,36.2
12175,"Congo, Dem. Rep.",COD,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,39.4,39.4,39.4,39.4,40.9
12180,"Congo, Dem. Rep.",COD,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,27.5,27.5,27.5,27.5,23.6
12214,"Congo, Dem. Rep.",COD,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,183.0
12218,"Congo, Dem. Rep.",COD,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,180.0
12377,"Congo, Rep.",COG,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,38.9,38.5,37.9,38.2,39.5
12380,"Congo, Rep.",COG,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,26.1,26.8,26.8,26.8,26.8
12385,"Congo, Rep.",COG,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,0.0,0.0,0.0,0.0,0.0
12419,"Congo, Rep.",COG,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,180.0
12423,"Congo, Rep.",COG,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,185.0
12582,Costa Rica,CRI,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,67.7,67.7,69.3,68.8,69.2
12585,Costa Rica,CRI,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,78.0,78.0,78.0,78.0,78.0
12590,Costa Rica,CRI,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,19.2,19.2,19.2,19.2,19.2
12624,Costa Rica,CRI,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,74.0
12628,Costa Rica,CRI,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,66.0
12787,Côte d'Ivoire,CIV,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,50.3,51.0,53.0,58.3,60.7
12790,Côte d'Ivoire,CIV,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,43.2,43.5,44.0,46.5,68.0
